stage,query,variable,error,codes
search_missing,中国能源统计年鉴上海煤炭调入量煤炭调出量电力调入量电力调出量,coal_transfer_out_raw_10k_ton,,
search_missing,中国能源统计年鉴上海煤炭调入量煤炭调出量电力调入量电力调出量,electricity_transfer_in_100m_kwh,,
search_missing,中国能源统计年鉴上海煤炭调入量煤炭调出量电力调入量电力调出量,electricity_transfer_out_raw_100m_kwh,,
search_missing,国家能源局江苏风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局江苏风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,中国能源统计年鉴浙江煤炭调入量煤炭调出量电力调入量电力调出量,coal_transfer_out_raw_10k_ton,,
search_missing,国家能源局安徽风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局安徽风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局江西风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局江西风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,中国能源统计年鉴江西煤炭调入量煤炭调出量电力调入量电力调出量,coal_transfer_out_raw_10k_ton,,
search_missing,中国能源统计年鉴江西煤炭调入量煤炭调出量电力调入量电力调出量,electricity_transfer_out_raw_100m_kwh,,
search_missing,国家能源局山东风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局山东风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局福建风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局福建风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局湖南风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局湖南风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,中国能源统计年鉴湖北煤炭调入量煤炭调出量电力调入量电力调出量,coal_transfer_out_raw_10k_ton,,
search_missing,中国能源统计年鉴山东煤炭调入量煤炭调出量电力调入量电力调出量,coal_transfer_in_10k_ton,,
search_missing,中国能源统计年鉴山东煤炭调入量煤炭调出量电力调入量电力调出量,coal_transfer_out_raw_10k_ton,,
search_missing,中国能源统计年鉴山东煤炭调入量煤炭调出量电力调入量电力调出量,electricity_transfer_in_100m_kwh,,
search_missing,国家能源局河南风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局河南风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,中国能源统计年鉴湖南煤炭调入量煤炭调出量电力调入量电力调出量,coal_transfer_out_raw_10k_ton,,
search_missing,中国能源统计年鉴湖南煤炭调入量煤炭调出量电力调入量电力调出量,electricity_transfer_out_raw_100m_kwh,,
search_missing,国家能源局湖北风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局湖北风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局广东风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局广东风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局广东风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_addition_10k_kw,,
search_missing,国家能源局广东风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_addition_10k_kw,,
search_missing,中国能源统计年鉴广西煤炭调入量煤炭调出量电力调入量电力调出量,electricity_transfer_out_raw_100m_kwh,,
search_missing,中国能源统计年鉴广东煤炭调入量煤炭调出量电力调入量电力调出量,electricity_transfer_out_raw_100m_kwh,,
search_missing,国家能源局海南风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局海南风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局海南风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_addition_10k_kw,,
search_missing,国家能源局海南风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_addition_10k_kw,,
search_missing,国家能源局重庆风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局重庆风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局广西风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局广西风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局广西风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_addition_10k_kw,,
search_missing,国家能源局广西风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_addition_10k_kw,,
search_missing,中国能源统计年鉴海南煤炭调入量煤炭调出量电力调入量电力调出量,electricity_transfer_out_raw_100m_kwh,,
search_missing,国家能源局四川风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局四川风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,中国能源统计年鉴重庆煤炭调入量煤炭调出量电力调入量电力调出量,electricity_transfer_out_raw_100m_kwh,,
search,中国能源统计年鉴西藏煤炭调入量煤炭调出量电力调入量电力调出量,,offline cache missing: search_flows_西藏.json,
search_missing,国家能源局西藏风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局西藏风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局贵州风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局贵州风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局贵州风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_addition_10k_kw,,
search_missing,国家能源局贵州风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_addition_10k_kw,,
search_missing,国家能源局云南风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局云南风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局云南风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_addition_10k_kw,,
search_missing,国家能源局云南风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_addition_10k_kw,,
search_missing,国家能源局青海风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局青海风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局宁夏风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局宁夏风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,中国能源统计年鉴新疆煤炭调入量煤炭调出量电力调入量电力调出量,electricity_transfer_in_100m_kwh,,
fetch,,,offline cache missing: fetch_batch_012.json,"S0253219,S0253220,S0253221,S0253222,S0253223,S0253224,S0253225,S0253226,S0253227,S0253228,S0253229,S5109253,T0631193,T1648586,T2427265,T2559535,T3450564,T7086682,T7796888,U0049960"
fetch,,,offline cache missing: fetch_batch_013.json,"U2017931,U3561403,U4175693,U4448923,U5257456,U5734272,U9524348,U9892501,V1801669,V3174140,V5390862,V6851859,V6931490,V8766574,V9955830,W1285137,W3358415,W4070240,W4293121,W5476739"
fetch,,,offline cache missing: fetch_batch_014.json,"W6429480,W7512331,X0071474,X0257779,X0843406,X4837163,X5022904,X6667583,X8892673,Y0490381,Y0819120,Y1385228,Y4799921,Y6230966,Y6969334,Y7871935,Y8229111,Z0517755,Z0671862,Z0824437"
fetch,,,offline cache missing: fetch_batch_015.json,"Z1013096,Z1196470,Z1254147,Z1556576,Z2204363,Z2209605,Z2871677,Z2993828,Z3425552,Z5042587,Z5109240,Z6983889,Z7298891,Z9083469,Z9411632"
