province,year,ln_co2,industrial_so2,gtfp_level,gml_index,coalshare5,therm_cap_sh,therm_gen_sh,nontherm_gen_sh,nox_total,wind_gen_sh,windsolar_gen_sh,wind_cap_sh,solar_cap_sh,windsolar_cap_sh,solar_gen_sh,policy_count,docs_with_content,content_coverage,content_chars,green_finance_per_10k_chars,green_finance_doc_share,coal_clean_per_10k_chars,coal_clean_doc_share,pollution_control_per_10k_chars,pollution_control_doc_share,renewable_per_10k_chars,renewable_doc_share
Shanxi,2014,20.079891,107.799,2.2389681,.90353954,.56983435,.8826142,.94924694,.050753072,106.99,.019185301,.019185301,.072200194,.0065561547,.078756347,,144,144,1,611967,.31047425,.097222216,11.405844,.2638889,2.7125645,.19444443,5.9480333,.11111111
Shanxi,2015,20.039738,90.077003,1.8247528,.8149972,.55410379,.85271317,.94431579,.055684205,93.080002,.032907795,.032907795,.096020669,.016277634,.11229831,,185,184,.99459457,851503,.28185457,.097297303,9.101553,.28648648,2.7480819,.16756757,1.3035773,.13513514
Shanxi,2016,20.032419,45.286999,1.8212242,.99806625,.55714959,.82840312,.92865008,.071349889,67.279999,.00053252809,.0015975843,.10091623,.038852096,.13976832,.0010650562,260,260,1,1250343,.26392758,.08461538,12.588546,.26153845,1.4076138,.16538462,3.8309488,.15769231
Shanxi,2017,20.043106,29.601999,2.5200622,1.3837187,.52824873,.78855443,.89919609,.10080391,77.830002,.057434462,.073949665,.10801437,.07313019,.18114455,.016515205,288,288,1,1315857,.34198245,.10069444,4.8181529,.22569443,2.5382698,.16319443,3.0550432,.15972222
Shanxi,2018,20.074276,23.936001,2.5571434,1.0147145,.45058596,.7567938,.87027788,.12972213,,.066228539,.095591635,.11909112,.098665223,.21775633,.029363098,204,204,1,904944,.4199155,.078431368,5.2378931,.18627451,2.5194929,.1127451,1.4144522,.12745097
Shanxi,2019,20.087257,19.716,2.9627929,1.1586338,.42993811,.72299707,.8716538,.12834622,57.630001,.066716239,.1046401,.13525787,.11760947,.25286734,.037923854,177,176,.99435025,597100,.26796183,.056497179,5.4429746,.18644068,1.691509,.10734463,1.3063139,.1299435
Shanxi,2020,20.088837,12.249,2.8376,.95774496,.41931307,.66242898,.8616153,.1383847,56.34,.075816207,.12108733,.19011846,.12603872,.31615719,.045271117,324,324,1,1122937,.36511397,.083333328,5.8863497,.10185185,.95285845,.098765433,.70351231,.058641981
Shanxi,2021,20.176826,10.381,4.3502154,1.5330616,.40222496,.6644029,.81649756,.18350245,42.830002,.11948316,.16774915,.18724643,.031390015,.21863644,.04826599,333,333,1,1855109,.33421218,.087087087,3.7140675,.15915915,1.6009841,.16516517,2.7545552,.11411411
Shanxi,2022,20.194918,9.0869999,8.9400988,2.0550931,.35290164,.64917219,.82865179,.17134821,38.720001,.1085003,.15947045,.19188742,.036316223,.22820364,.050970156,369,368,.99728996,1560189,.49352995,.10569106,5.9928637,.16531165,3.0060461,.13821138,3.525214,.16260163
Shanxi,2023,20.259792,7.2620001,8.9173536,.99745584,,.6056782,.8100301,.18996987,48.9953,.11860804,.17873321,.18899894,.050385606,.23938455,.06012518,334,334,1,1407895,.43327096,.077844307,7.4934564,.14071856,2.2799995,.10179641,3.4661677,.13473053
